team,empno,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,900001,김서연,S,S1,S,S1,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S1,S1,OFF,S,S,S,S,S,OFF,OFF,S,S,S,S,S
1,900002,이지우,D,D,OFF,E,E,E,E,OFF,D,OFF,N,N,N,OFF,OFF,D,E,E,E,OFF,N,N,N,OFF,OFF,D,D,D,OFF,D,D
1,900003,박하윤,OFF,D,D,D,OFF,D,D,D,N,N,OFF,OFF,E,E,E,E,HY,OFF,D,E,OFF,D,D,N,N,N,OFF,OFF,D,E,OFF
1,900004,최서준,E,OFF,N,N,N,OFF,OFF,E,E,E,E,E,OFF,HY,N,N,N,OFF,OFF,D,D,D,D,OFF,D,D,E,E,OFF,OFF,E
1,900005,정도윤,HY,E,E,HY,OFF,N,N,N,OFF,OFF,HY,D,D,D,D,OFF,D,D,OFF,OFF,E,E,E,E,E,OFF,N,N,N,OFF,OFF
1,900006,조하은,N,N,OFF,OFF,D,D,D,D,OFF,D,D,D,HY,OFF,E,E,OFF,N,N,N,OFF,OFF,OFF,D,E,E,OFF,E,E,N,N
1,900007,윤시우,E,M,M,N,N,OFF,OFF,E,HY,D,D,OFF,OFF,N,N,N,OFF,OFF,E,E,E,E,OFF,N,N,OFF,OFF,M/D,D,D,D
1,900008,임지호,D,D,OFF,E,E,E,E,OFF,D,OFF,경조,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,900009,한예은,OFF,D,D,D,OFF,D,D,D,N,N,OFF,OFF,E,E,E,E,OFF,D,D,E,OFF,D,D,N,N,N,OFF,OFF,D,E,OFF
2,900010,오수아,D,E,E,E,OFF,D,D,D,E,OFF,D,D,OFF,OFF,N,N,OFF,OFF,E,E,E,E,E,OFF,N,N,N,OFF,OFF,N,N
2,900011,서지안,OFF,HY,HY,D,D,N,N,OFF,OFF,D,E,OFF,E,N,N,OFF,OFF,D,N,N,N,OFF,OFF,D,E,E,OFF,E,E,E,E
2,900012,신다은,N,N,OFF,E,E,HY,HY,N,N,N,OFF,HY,D,D,D,OFF,N,N,OFF,OFF,D,D,D,OFF,D,D,OFF,D,D,OFF,OFF
2,900013,권은우,E,OFF,D,N,N,OFF,E,E,E,OFF,E,E,OFF,OFF,OFF,D,D,D,D,D,OFF,N,N,N,OFF,OFF,E,M/E,M/E,N,N
2,900014,황채원,N,N,N,OFF,OFF,E,E,OFF,D,E,N,N,N,OFF,OFF,M/E,E,E,OFF,D,D,E,OFF,D,OFF,OFF,D,D,D,D,D
2,900015,송지윤,D,D,OFF,D,E,HY,HY,N,N,N,OFF,OFF,D,D,E,E,E,OFF,OFF,N,N,OFF,E,M/E,OFF,D,D,N,N,OFF,OFF
2,900016,전시은,HY,HY,D,M,OFF,N,N,OFF,OFF,E,E,E,E,E,OFF,D,N,N,N,OFF,OFF,M/D,OFF,E,N,N,OFF,OFF,M/D,M/D,M/D
2,900017,홍예준,OFF,E,E,E,OFF,D,D,D,E,OFF,D,D,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,900018,문윤서,OFF,D,E,E,HY,N,N,OFF,OFF,D,HY,OFF,D,D,D,D,D,OFF,N,N,OFF,OFF,E,E,E,N,N,OFF,OFF,E,E
3,900019,양민서,OFF,OFF,D,D,D,D,D,OFF,D,E,HY,OFF,N,N,N,OFF,OFF,E,E,E,E,OFF,D,D,D,D,OFF,N,N,N,OFF
3,900020,배가은,E,OFF,N,N,N,OFF,OFF,D,D,N,N,N,OFF,OFF,D,E,E,OFF,D,D,OFF,E,E,E,OFF,E,E,E,E,E,OFF
3,900021,김소율,D,E,OFF,HY,E,E,E,E,E,OFF,D,D,OFF,E,E,N,N,N,OFF,OFF,D,D,N,N,N,OFF,OFF,OFF,OFF,D,D
3,900022,이주원,OFF,E,E,HY,D,E,OFF,N,N,OFF,E,E,E,E,HY,OFF,D,D,D,OFF,N,N,N,OFF,OFF,OFF,D,D,D,OFF,N
3,900023,박나윤,N,N,N,OFF,OFF,M,M,OFF,OFF,M,N,N,N,OFF,OFF,OFF,D,E,M/E,M/E,M/E,OFF,D,D,D,E,E,OFF,E,E,E
3,900024,최연우,OFF,D,E,E,OFF,N,N,OFF,OFF,D,D,OFF,D,D,D,D,OFF,D,N,N,HY,OFF,E,E,E,N,N,OFF,OFF,E,E
3,900025,정현서,D,OFF,D,D,D,D,D,OFF,D,E,OFF,OFF,N,N,N,OFF,OFF,E,E,E,OFF,M/D,M/D,D,D,D,OFF,N,N,N,OFF
